,Period,Correlation,Ticker1,Ticker2,20d_Volume1,20d_Volume2,close_SD1,close_SD2,Sector1_basic-materials,Sector1_communication-services,Sector1_consumer-cyclical,Sector1_consumer-defensive,Sector1_energy,Sector1_financial-services,Sector1_healthcare,Sector1_industrials,Sector1_real-estate,Sector1_technology,Sector1_utilities,Sector2_basic-materials,Sector2_communication-services,Sector2_consumer-cyclical,Sector2_consumer-defensive,Sector2_energy,Sector2_financial-services,Sector2_healthcare,Sector2_industrials,Sector2_real-estate,Sector2_technology,Sector2_utilities
60,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.647287968082097,BSX,BWA,5563005.0,3394745.0,0.8152262416136223,1.0034108539974997,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.5931806009439425,BWA,BXP,3394745.0,1289260.0,1.0034108539974997,1.368137535153275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.26723023472351604,BXP,C,1289260.0,11991810.0,1.368137535153275,0.9257582497315894,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
63,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6382327645085123,C,CAG,11991810.0,4260460.0,0.9257582497315894,0.5051264382853962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.48038809194685667,CAG,CAH,4260460.0,2189140.0,0.5051264382853962,2.509927761908741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.42045677622585104,CAH,CAT,2189140.0,3706335.0,2.509927761908741,4.592734060420814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.5434477076465604,CAT,CB,3706335.0,1462210.0,4.592734060420814,2.695695004050547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.3737325810114788,CB,CBOE,1462210.0,814180.0,2.695695004050547,2.654041256108556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.4497641288685534,CBOE,CCI,814180.0,2587015.0,2.654041256108556,2.5739182685032063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.12445875631794397,CCI,CCL,2587015.0,34577775.0,2.5739182685032063,0.8201116079672438,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
70,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.13274383350639687,CCL,CDNS,34577775.0,1724810.0,0.8201116079672438,12.44875508480066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.8811055023567653,CDNS,CF,1724810.0,2448975.0,12.44875508480066,2.33181844506233,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.11499784093127026,CF,CFG,2448975.0,5147230.0,2.33181844506233,0.41810393511584004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.06241865896161687,CFG,CHD,5147230.0,1363765.0,0.41810393511584004,1.6989639889135668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.21818816534261484,CHD,CHK,1363765.0,1597870.0,1.6989639889135668,2.6897466303095556,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.33739849102247343,CHK,CHRW,1597870.0,1681835.0,2.6897466303095556,1.6646025151478954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.755657769436796,CHRW,CHTR,1681835.0,1076015.0,1.6646025151478954,6.002236339810421,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6055548388823552,CHTR,CI,1076015.0,1763830.0,6.002236339810421,3.4062397456954647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6656567970253114,CI,CINF,1763830.0,614235.0,3.4062397456954647,1.2254196122596137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.025640864632001614,CINF,CL,614235.0,3892795.0,1.2254196122596137,2.2951191888726483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.8531614075780597,CL,CLX,3892795.0,1323265.0,2.2951191888726483,2.698794065737227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.5819284633600734,CLX,CMA,1323265.0,3423115.0,2.698794065737227,1.1474944219586132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6354790279299054,CMA,CMCSA,3423115.0,21096215.0,1.1474944219586132,0.8053746952182456,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.5427889839175951,CMCSA,CME,21096215.0,2289370.0,0.8053746952182456,3.5271067010622463,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.6975605783066342,CME,CMG,2289370.0,19678060.0,3.5271067010622463,1.8904393461567883,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
